Time,USER,RRC,ERAB,PRB,THR,DUR
11-07-2016 00:00,1546,1237,989,761,634,662
11-07-2016 01:00,1170,936,749,576,480,501
11-07-2016 02:00,1059,847,678,521,434,453
11-07-2016 03:00,1133,906,725,558,465,485
11-07-2016 04:00,1185,948,758,583,486,507
11-07-2016 05:00,1160,928,742,571,476,497
11-07-2016 06:00,1164,931,745,573,478,498
11-07-2016 07:00,1206,965,772,594,495,516
11-07-2016 08:00,1422,1138,910,700,583,609
11-07-2016 09:00,1556,1245,996,766,638,666
11-07-2016 10:00,1641,1313,1050,808,673,703
11-07-2016 11:00,1637,1310,1048,806,672,701
11-07-2016 12:00,1371,1097,877,675,562,587
11-07-2016 13:00,1545,1236,989,761,634,661
11-07-2016 14:00,1597,1278,1022,786,655,684
11-07-2016 15:00,1538,1230,984,757,631,658
11-07-2016 16:00,2025,1620,1296,997,831,867
11-07-2016 17:00,1737,1390,1112,855,713,744
11-07-2016 18:00,1614,1291,1033,795,662,691
11-07-2016 19:00,1677,1342,1073,826,688,718
11-07-2016 20:00,1660,1328,1062,817,681,711
11-07-2016 21:00,1942,1554,1243,956,797,831
11-07-2016 22:00,1778,1422,1138,875,729,761
11-07-2016 23:00,1658,1326,1061,816,680,710
11-08-2016 00:00,1546,1237,989,761,634,662
11-08-2016 01:00,1170,936,749,576,480,501
11-08-2016 02:00,1059,847,678,521,434,453
11-08-2016 03:00,1133,906,725,558,465,485
11-08-2016 04:00,1185,948,758,583,486,507
11-08-2016 05:00,1160,928,742,571,476,497
11-08-2016 06:00,1164,931,745,573,478,498
11-08-2016 07:00,1206,965,772,594,495,516
11-08-2016 08:00,1422,1138,910,700,583,609
11-08-2016 09:00,1556,1245,996,766,638,666
11-08-2016 10:00,1641,1313,1050,808,673,703
11-08-2016 11:00,1637,1310,1048,806,672,701
11-08-2016 12:00,1371,1097,877,675,562,587
11-08-2016 13:00,1545,1236,989,761,634,661
11-08-2016 14:00,1597,1278,1022,786,655,684
11-08-2016 15:00,1538,1230,984,757,631,658
11-08-2016 16:00,2025,1620,1296,997,831,867
11-08-2016 17:00,1737,1390,1112,855,713,744
11-08-2016 18:00,1614,1291,1033,795,662,691
11-08-2016 19:00,1677,1342,1073,826,688,718
11-08-2016 20:00,1660,1328,1062,817,681,711
11-08-2016 21:00,1942,1554,1243,956,797,831
11-08-2016 22:00,1778,1422,1138,875,729,761
11-08-2016 23:00,1658,1326,1061,816,680,710
11-09-2016 00:00,1546,1237,989,761,634,662
11-09-2016 01:00,1170,936,749,576,480,501
11-09-2016 02:00,1059,847,678,521,434,453
11-09-2016 03:00,1133,906,725,558,465,485
11-09-2016 04:00,1185,948,758,583,486,507
11-09-2016 05:00,1160,928,742,571,476,497
11-09-2016 06:00,1164,931,745,573,478,498
11-09-2016 07:00,1206,965,772,594,495,516
11-09-2016 08:00,1422,1138,910,700,583,609
11-09-2016 09:00,1556,1245,996,766,638,666
11-09-2016 10:00,1641,1313,1050,808,673,703
11-09-2016 11:00,1637,1310,1048,806,672,701
11-09-2016 12:00,1371,1097,877,675,562,587
11-09-2016 13:00,1545,1236,989,761,634,661
11-09-2016 14:00,1597,1278,1022,786,655,684
11-09-2016 15:00,1538,1230,984,757,631,658
11-09-2016 16:00,2025,1620,1296,997,831,867
11-09-2016 17:00,1737,1390,1112,855,713,744
11-09-2016 18:00,1614,1291,1033,795,662,691
11-09-2016 19:00,1677,1342,1073,826,688,718
11-09-2016 20:00,1660,1328,1062,817,681,711
11-09-2016 21:00,1942,1554,1243,956,797,831
11-09-2016 22:00,1778,1422,1138,875,729,761
11-09-2016 23:00,1658,1326,1061,816,680,710
11-10-2016 00:00,1546,1237,989,761,634,662
11-10-2016 01:00,1170,936,749,576,480,501
11-10-2016 02:00,1059,847,678,521,434,453
11-10-2016 03:00,1133,906,725,558,465,485
11-10-2016 04:00,1185,948,758,583,486,507
11-10-2016 05:00,1160,928,742,571,476,497
11-10-2016 06:00,1164,931,745,573,478,498
11-10-2016 07:00,1206,965,772,594,495,516
11-10-2016 08:00,1422,1138,910,700,583,609
11-10-2016 09:00,1556,1245,996,766,638,666
11-10-2016 10:00,1641,1313,1050,808,673,703
11-10-2016 11:00,1637,1310,1048,806,672,701
11-10-2016 12:00,1371,1097,877,675,562,587
11-10-2016 13:00,1545,1236,989,761,634,661
11-10-2016 14:00,1597,1278,1022,786,655,684
11-10-2016 15:00,1538,1230,984,757,631,658
11-10-2016 16:00,2025,1620,1296,997,831,867
11-10-2016 17:00,1737,1390,1112,855,713,744
11-10-2016 18:00,1614,1291,1033,795,662,691
11-10-2016 19:00,1677,1342,1073,826,688,718
11-10-2016 20:00,1660,1328,1062,817,681,711
11-10-2016 21:00,1942,1554,1243,956,797,831
11-10-2016 22:00,1778,1422,1138,875,729,761
11-10-2016 23:00,1658,1326,1061,816,680,710
11-11-2016 00:00,1546,1237,989,761,634,662
11-11-2016 01:00,1170,936,749,576,480,501
11-11-2016 02:00,1059,847,678,521,434,453
11-11-2016 03:00,1133,906,725,558,465,485
11-11-2016 04:00,1185,948,758,583,486,507
11-11-2016 05:00,1160,928,742,571,476,497
11-11-2016 06:00,1164,931,745,573,478,498
11-11-2016 07:00,1206,965,772,594,495,516
11-11-2016 08:00,1422,1138,910,700,583,609
11-11-2016 09:00,1556,1245,996,766,638,666
11-11-2016 10:00,1641,1313,1050,808,673,703
11-11-2016 11:00,1637,1310,1048,806,672,701
11-11-2016 12:00,1371,1097,877,675,562,587
11-11-2016 13:00,1545,1236,989,761,634,661
11-11-2016 14:00,1597,1278,1022,786,655,684
11-11-2016 15:00,1538,1230,984,757,631,658
11-11-2016 16:00,2025,1620,1296,997,831,867
11-11-2016 17:00,1737,1390,1112,855,713,744
11-11-2016 18:00,1614,1291,1033,795,662,691
11-11-2016 19:00,1677,1342,1073,826,688,718
11-11-2016 20:00,1660,1328,1062,817,681,711
11-11-2016 21:00,1942,1554,1243,956,797,831
11-11-2016 22:00,1778,1422,1138,875,729,761
11-11-2016 23:00,1658,1326,1061,816,680,710
11-12-2016 00:00,1546,1237,989,761,634,662
11-12-2016 01:00,1170,936,749,576,480,501
11-12-2016 02:00,1059,847,678,521,434,453
11-12-2016 03:00,1133,906,725,558,465,485
11-12-2016 04:00,1185,948,758,583,486,507
11-12-2016 05:00,1160,928,742,571,476,497
11-12-2016 06:00,1164,931,745,573,478,498
11-12-2016 07:00,1206,965,772,594,495,516
11-12-2016 08:00,1422,1138,910,700,583,609
11-12-2016 09:00,1556,1245,996,766,638,666
11-12-2016 10:00,1641,1313,1050,808,673,703
11-12-2016 11:00,1637,1310,1048,806,672,701
11-12-2016 12:00,1371,1097,877,675,562,587
11-12-2016 13:00,1545,1236,989,761,634,661
11-12-2016 14:00,1597,1278,1022,786,655,684
11-12-2016 15:00,1538,1230,984,757,631,658
11-12-2016 16:00,2025,1620,1296,997,831,867
11-12-2016 17:00,1737,1390,1112,855,713,744
11-12-2016 18:00,1614,1291,1033,795,662,691
11-12-2016 19:00,1677,1342,1073,826,688,718
11-12-2016 20:00,1660,1328,1062,817,681,711
11-12-2016 21:00,1942,1554,1243,956,797,831
11-12-2016 22:00,1778,1422,1138,875,729,761
11-12-2016 23:00,1658,1326,1061,816,680,710
11/13/2016 0:00,1546,1237,989,761,634,662
11/13/2016 1:00,1170,936,749,576,480,501
11/13/2016 2:00,1059,847,678,521,434,453
11/13/2016 3:00,1133,906,725,558,465,485
11/13/2016 4:00,1185,948,758,583,486,507
11/13/2016 5:00,1160,928,742,571,476,497
11/13/2016 6:00,1164,931,745,573,478,498
11/13/2016 7:00,1206,965,772,594,495,516
11/13/2016 8:00,1422,1138,910,700,583,609
11/13/2016 9:00,1556,1245,996,766,638,666
11/13/2016 10:00,1641,1313,1050,808,673,703
11/13/2016 11:00,1637,1310,1048,806,672,701
11/13/2016 12:00,1371,1097,877,675,562,587
11/13/2016 13:00,1545,1236,989,761,634,661
11/13/2016 14:00,1597,1278,1022,786,655,684
11/13/2016 15:00,1538,1230,984,757,631,658
11/13/2016 16:00,2025,1620,1296,997,831,867
11/13/2016 17:00,1737,1390,1112,855,713,744
11/13/2016 18:00,1614,1291,1033,795,662,691
11/13/2016 19:00,1677,1342,1073,826,688,718
11/13/2016 20:00,1660,1328,1062,817,681,711
11/13/2016 21:00,1942,1554,1243,956,797,831
11/13/2016 22:00,1778,1422,1138,875,729,761
11/13/2016 23:00,1658,1326,1061,816,680,710
11/14/2016 0:00,1546,1237,989,761,634,662
11/14/2016 1:00,1170,936,749,576,480,501
11/14/2016 2:00,1059,847,678,521,434,453
11/14/2016 3:00,1133,906,725,558,465,485
11/14/2016 4:00,1185,948,758,583,486,507
11/14/2016 5:00,1160,928,742,571,476,497
11/14/2016 6:00,1164,931,745,573,478,498
11/14/2016 7:00,1206,965,772,594,495,516
11/14/2016 8:00,1422,1138,910,700,583,609
11/14/2016 9:00,1556,1245,996,766,638,666
11/14/2016 10:00,1641,1313,1050,808,673,703
11/14/2016 11:00,1637,1310,1048,806,672,701
11/14/2016 12:00,1371,1097,877,675,562,587
11/14/2016 13:00,1545,1236,989,761,634,661
11/14/2016 14:00,1597,1278,1022,786,655,684
11/14/2016 15:00,1538,1230,984,757,631,658
11/14/2016 16:00,2025,1620,1296,997,831,867
11/14/2016 17:00,1737,1390,1112,855,713,744
11/14/2016 18:00,1614,1291,1033,795,662,691
11/14/2016 19:00,1677,1342,1073,826,688,718
11/14/2016 20:00,1660,1328,1062,817,681,711
11/14/2016 21:00,1942,1554,1243,956,797,831
11/14/2016 22:00,1778,1422,1138,875,729,761
11/14/2016 23:00,1658,1326,1061,816,680,710
11/15/2016 0:00,1546,1237,989,761,634,662
11/15/2016 1:00,1170,936,749,576,480,501
11/15/2016 2:00,1059,847,678,521,434,453
11/15/2016 3:00,1133,906,725,558,465,485
11/15/2016 4:00,1185,948,758,583,486,507
11/15/2016 5:00,1160,928,742,571,476,497
11/15/2016 6:00,1164,931,745,573,478,498
11/15/2016 7:00,1206,965,772,594,495,516
11/15/2016 8:00,1422,1138,910,700,583,609
11/15/2016 9:00,1556,1245,996,766,638,666
11/15/2016 10:00,1641,1313,1050,808,673,703
11/15/2016 11:00,1637,1310,1048,806,672,701
11/15/2016 12:00,1371,1097,877,675,562,587
11/15/2016 13:00,1545,1236,989,761,634,661
11/15/2016 14:00,1597,1278,1022,786,655,684
11/15/2016 15:00,1538,1230,984,757,631,658
11/15/2016 16:00,2025,1620,1296,997,831,867
11/15/2016 17:00,1737,1390,1112,855,713,744
11/15/2016 18:00,1614,1291,1033,795,662,691
11/15/2016 19:00,1677,1342,1073,826,688,718
11/15/2016 20:00,1660,1328,1062,817,681,711
11/15/2016 21:00,1942,1554,1243,956,797,831
11/15/2016 22:00,1778,1422,1138,875,729,761
11/15/2016 23:00,1658,1326,1061,816,680,710
11/16/2016 0:00,1546,1237,989,761,634,662
11/16/2016 1:00,1170,936,749,576,480,501
11/16/2016 2:00,1059,847,678,521,434,453
11/16/2016 3:00,1133,906,725,558,465,485
11/16/2016 4:00,1185,948,758,583,486,507
11/16/2016 5:00,1160,928,742,571,476,497
11/16/2016 6:00,1164,931,745,573,478,498
11/16/2016 7:00,1206,965,772,594,495,516
11/16/2016 8:00,1422,1138,910,700,583,609
11/16/2016 9:00,1556,1245,996,766,638,666
11/16/2016 10:00,1641,1313,1050,808,673,703
11/16/2016 11:00,1637,1310,1048,806,672,701
11/16/2016 12:00,1371,1097,877,675,562,587
11/16/2016 13:00,1545,1236,989,761,634,661
11/16/2016 14:00,1597,1278,1022,786,655,684
11/16/2016 15:00,1538,1230,984,757,631,658
11/16/2016 16:00,2025,1620,1296,997,831,867
11/16/2016 17:00,1737,1390,1112,855,713,744
11/16/2016 18:00,1614,1291,1033,795,662,691
11/16/2016 19:00,1677,1342,1073,826,688,718
11/16/2016 20:00,1660,1328,1062,817,681,711
11/16/2016 21:00,1942,1554,1243,956,797,831
11/16/2016 22:00,1778,1422,1138,875,729,761
11/16/2016 23:00,1658,1326,1061,816,680,710
11/17/2016 0:00,1546,1237,989,761,634,662
11/17/2016 1:00,1170,936,749,576,480,501
11/17/2016 2:00,1059,847,678,521,434,453
11/17/2016 3:00,1133,906,725,558,465,485
